Origin,Destination,Company,DepartureTime,ArrivalTime,DurationTime,FlightPrice,
BOM,DEL,IndiGo ,8:30,10:25,1h 55m,"6,153",
BOM,DEL,IndiGo ,7:45,9:50,2h 05m,"5,943",
BOM,DEL,Vistara ,12:25,14:30,2h 05m,"6,249",
BOM,DEL,IndiGo ,10:05,12:15,2h 10m,"5,943",
BOM,DEL,IndiGo ,13:40,15:50,2h 10m,"5,943",
BOM,DEL,IndiGo ,9:20,11:30,2h 10m,"5,943",
BOM,DEL,Air India ,8:00,10:15,2h 15m,"5,943",
BOM,DEL,Air India ,10:00,12:15,2h 15m,"5,943",
BOM,DEL,Vistara ,11:55,14:05,2h 10m,"6,249",
BOM,DEL,IndiGo ,11:45,14:00,2h 15m,"5,943",
BOM,DEL,SpiceJet ,7:20,9:35,2h 15m,"6,540",
BOM,DEL,SpiceJet ,10:15,12:30,2h 15m,"6,540",
BOM,DEL,Vistara ,10:25,12:40,2h 15m,"6,249",
BOM,DEL,Vistara ,14:40,16:55,2h 15m,"6,249",
BOM,DEL,Vistara ,8:45,11:00,2h 15m,"6,360",
BOM,DEL,IndiGo ,7:05,9:20,2h 15m,"6,153",
BOM,DEL,AirAsia India ,7:20,9:30,2h 10m,"6,967",
BOM,DEL,Vistara ,7:00,9:05,2h 05m,"8,245",
DEL,BOM,Air India ,18:00,20:00,2h,"5,955",
DEL,BOM,Go First ,15:30,17:35,2h 05m,"5,900",
DEL,BOM,Go First ,17:00,19:05,2h 05m,"5,900",
DEL,BOM,Air India ,20:00,22:10,2h 10m,"5,955",
DEL,BOM,Go First ,22:30,0:40,2h 10m,"5,900",
DEL,BOM,IndiGo ,17:15,19:25,2h 10m,"5,955",
DEL,BOM,IndiGo ,18:40,20:50,2h 10m,"5,955",
DEL,BOM,Air India ,19:00,21:15,2h 15m,"5,955",
DEL,BOM,SpiceJet ,18:55,21:05,2h 10m,"6,543",
DEL,BOM,Vistara ,15:30,17:40,2h 10m,"6,261",
DEL,BOM,Vistara ,19:50,22:00,2h 10m,"6,261",
DEL,BOM,Vistara ,20:40,22:50,2h 10m,"6,261",
DEL,BOM,Go First ,15:00,17:15,2h 15m,"5,900",
DEL,BOM,Go First ,19:40,21:55,2h 15m,"5,900",
DEL,BOM,Go First ,21:00,23:15,2h 15m,"5,900",
DEL,BOM,IndiGo ,21:15,23:30,2h 15m,"5,955",
DEL,BOM,Vistara ,19:00,21:15,2h 15m,"6,261",
DEL,BOM,Go First ,18:05,20:25,2h 20m,"5,900",
DEL,BOM,SpiceJet ,19:45,22:05,2h 20m,"6,543",
DEL,BOM,Vistara ,17:45,20:05,2h 20m,"6,261",
DEL,BOM,Go First ,13:30,15:35,2h 05m,"5,900",
DEL,BOM,Go First ,7:00,9:10,2h 10m,"5,900",
DEL,BOM,Go First ,8:00,10:10,2h 10m,"5,900",
DEL,BOM,IndiGo ,12:00,14:10,2h 10m,"5,955",
DEL,BOM,IndiGo ,6:30,8:40,2h 10m,"5,955",
DEL,BOM,IndiGo ,7:15,9:25,2h 10m,"5,955",
DEL,BOM,Go First ,14:20,16:35,2h 15m,"5,900",
DEL,BOM,Go First ,15:00,17:15,2h 15m,"5,900",
DEL,BOM,IndiGo ,14:20,16:35,2h 15m,"5,955",
DEL,BOM,SpiceJet ,7:20,9:35,2h 15m,"6,543",
DEL,BOM,Go First ,10:30,12:50,2h 20m,"5,900",
DEL,BOM,IndiGo ,8:45,11:05,2h 20m,"5,955",
DEL,BOM,IndiGo ,10:45,13:05,2h 20m,"5,955",
DEL,BOM,Go First ,2:00,4:15,2h 15m,"5,900",
DEL,BOM,SpiceJet ,6:20,8:40,2h 20m,"6,543",
DEL,BOM,AirAsia India ,4:25,6:35,2h 10m,"6,139",
DEL,BOM,IndiGo ,9:30,12:00,2h 30m,"5,955",
BOM,DEL,AirAsia India ,22:00,0:10,2h 10m,"5,000",
BOM,DEL,IndiGo ,19:35,21:25,1h 50m,"5,943",
BOM,DEL,Go First ,16:30,18:35,2h 05m,"5,888",
BOM,DEL,IndiGo ,17:15,19:20,2h 05m,"5,943",
BOM,DEL,IndiGo ,18:30,20:35,2h 05m,"5,943",
BOM,DEL,Go First ,18:00,20:10,2h 10m,"5,888",
BOM,DEL,Go First ,20:15,22:25,2h 10m,"5,888",
BOM,DEL,Go First ,22:40,0:50,2h 10m,"5,888",
BOM,DEL,SpiceJet ,21:45,23:55,2h 10m,"6,540",
BOM,DEL,Go First ,21:15,23:30,2h 15m,"5,888",
BOM,DEL,Go First ,23:45,2:00,2h 15m,"5,888",
BOM,DEL,SpiceJet ,19:25,21:50,2h 25m,"6,540",
BOM,DEL,IndiGo ,8:30,10:25,1h 55m,"6,153",
BOM,DEL,Go First ,12:30,14:35,2h 05m,"5,779",
BOM,DEL,Go First ,14:30,16:35,2h 05m,"5,779",
BOM,DEL,IndiGo ,7:45,9:50,2h 05m,"5,943",
BOM,DEL,Go First ,6:00,8:10,2h 10m,"5,779",
BOM,DEL,Go First ,8:00,10:10,2h 10m,"5,779",
BOM,DEL,Vistara ,6:00,8:05,2h 05m,"6,249",
BOM,DEL,Vistara ,6:30,8:35,2h 05m,"6,249",
BOM,DEL,Vistara ,12:25,14:30,2h 05m,"6,249",
BOM,DEL,IndiGo ,9:20,11:30,2h 10m,"5,943",
BOM,DEL,IndiGo ,10:05,12:15,2h 10m,"5,943",
BOM,DEL,Air India ,8:00,10:15,2h 15m,"5,943",
BOM,DEL,Air India ,10:00,12:15,2h 15m,"5,943",
BOM,DEL,Go First ,9:55,12:10,2h 15m,"5,779",
BOM,DEL,Go First ,12:15,14:30,2h 15m,"5,779",
BOM,DEL,Go First ,13:30,15:45,2h 15m,"5,779",
BOM,DEL,Vistara ,7:30,9:40,2h 10m,"6,249",
BOM,DEL,Vistara ,11:55,14:05,2h 10m,"6,249",
BOM,DEL,IndiGo ,7:05,9:20,2h 15m,"5,943",
BOM,DEL,IndiGo ,11:45,14:00,2h 15m,"5,943",
BOM,DEL,IndiGo ,13:40,15:50,2h 10m,"6,153",
BOM,DEL,SpiceJet ,7:20,9:35,2h 15m,"6,540",
BOM,DEL,SpiceJet ,10:15,12:30,2h 15m,"6,540",
BOM,DEL,Vistara ,8:45,11:00,2h 15m,"6,249",
BOM,DEL,Vistara ,10:25,12:40,2h 15m,"6,249",
BOM,DEL,Vistara ,14:40,16:55,2h 15m,"6,249",
BOM,DEL,AirAsia India ,7:20,9:30,2h 10m,"6,337",
DEL,BOM,AirAsia India ,19:10,21:25,2h 15m,"5,000",
DEL,BOM,Air India ,18:00,20:00,2h,"5,955",
DEL,BOM,IndiGo ,17:15,19:25,2h 10m,"5,955",
DEL,BOM,IndiGo ,18:40,20:50,2h 10m,"5,955",
DEL,BOM,Air India ,19:00,21:15,2h 15m,"5,955",
DEL,BOM,SpiceJet ,18:55,21:05,2h 10m,"6,543",
DEL,BOM,Vistara ,15:30,17:40,2h 10m,"6,261",
DEL,BOM,Vistara ,19:50,22:00,2h 10m,"6,261",
DEL,BOM,Vistara ,20:40,22:50,2h 10m,"6,261",
DEL,BOM,Vistara ,21:40,23:50,2h 10m,"6,261",
